Product Name,Price,Product URL,RAM,Storage Capacity,SIM Card Slot,Model,Screen Size
"Open Box Samsung Galaxy A15 5G A156M 128GB 6GB  6.5"" Unlocked",$125.00 ,https://www.ebay.com/itm/305481305083?_skw=phone&hash=item47201acbfb:g:B8oAAOSwDAllwzFk&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKnd%2B6UzQu2vwgUVIkJfUFK%2FspZbCew0123Xet9IZ3tcj0v4dYYF94DeEVYenRY%2B5cDpP%2FxEikfW1VA8ewo4AOtbXkl7tOC1IyFCESpJlmp6Gu3qJ17lEXsAEEw9a6TgXpr8umf8aKfyU10fIBF7ngR6iu23a5rHWb9WxONDs27tWYmq0O3%2Bs9Twmka%2BzyGO2rlD6UhjGs0zS0KpWeONB5oVdakQaDryRFrQlDkVfjnoRg%3D%3D%7Ctkp%3ABk9SR-q8i9a8ZA,6 GB,128 GB,Dual SIM (SIM + SIM),Galaxy A15 5G,6.5 in.
🔥 Samsung Galaxy S24 5G 🔥 128GB Unlocked / T-mobile Flawless Open Box,$455.00 ,https://www.ebay.com/itm/226186983698?_skw=phone&epid=17064923351&hash=item34a9cb7912:g:7XMAAOSwORFmj17S&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlTCTg7c1t4KhSN7H0%2B2S58kuCRUEyVawHqTBgDEA098hFVYdoKn4%2FdnHZb2JvRddJrhq08MsAUvqFlzTkHiRB0Auw3T4i4oCs3zJDXkWqu2F5x%2FsC5xMsdgQGGlm0jpp%2BQFH6tSCBxNfPFn60Ohe1hLEg3t1P9LZvk8qNzR6KF0IwLvSztY3kqBxrCxbiHJCrzJ3%2FQF8YRPe%2BOjzX2HadGEHbF9IPiG4%2Fxz4sU93SqsA%3D%3D%7Ctkp%3ABk9SR-q8i9a8ZA,8 GB,128 GB,Dual SIM (SIM + eSIM),Samsung Galaxy S24,6.2 in
Samsung Galaxy S23 FE 5G SM-S711U 128GB 8GB RAM (UNLOCKED) All Colors - PRISTINE,$329.00 ,https://www.ebay.com/itm/276529013740?_skw=phone&epid=17063459537&hash=item406269e3ec:g:V48AAOSwcktmfw~1&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkanXlegaPtAqLGAdQYrBW1B%2BNxI4hwILATdSEJtjbmWx%2F%2BHC1cAuW%2BJlZYVwrHWYpHsD326JWryUnzhAjy8nRRBmCyDg2tunn%2FY0kWstKaG6B1nwvLKfZ0l207GvsJvSnrOBmtrOtz2tMknNQt2qbV%2BEnF9p230IVFMIey3v9nvP6lNV33EOJijTMl%2FLk2qzKuLPq1oALPGygqFVWR6cqESZf9ktO7Q0HfcP7dlBzomA%3D%3D%7Ctkp%3ABk9SR-y8i9a8ZA,8 GB,128 GB,Single SIM,Samsung Galaxy S23 FE,6.4 in
"Open Box Samsung Galaxy A15 A155F 128GB 4GB 6.5"" Unlocked",$115.00 ,https://www.ebay.com/itm/305605162384?_skw=phone&hash=item47277cb590:g:x4QAAOSwZiNl8CRr&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmo1q84CYsvJmbwU8NLjn%2B4NaRt7a%2FqTdR2geJbXEVwX18OyeR3IjJtrCaE4GUtQev0jaACxyjb1wmst7C6pd0Qb7mab7ncq21WBlqvXULePaKhA42AJv01MBQCe09fZlHSnOKAQ8s2CvOFiBAxatMj9EcPOpX1GjZfhKuZQHphLHi1g5d1bQl6USeA0gKcqhixu5fFp%2BzA0CyBF4i%2BhXNE9Z%2BPOSiLPt%2FJMjIaEyA0BLKaPdKg5IC1qDraM6xs7s20pdM%2BTnGto45SWBwwxQM8%7Ctkp%3ABk9SR-y8i9a8ZA,4 GB,128 GB,Dual SIM (SIM + SIM),Galaxy A15,6.5 in
New ListingSamsung Galaxy A15 5G 128GB   Works Great Clean Esn Cracked - Unlocked,$59.99 ,https://www.ebay.com/itm/146020046793?_skw=phone&hash=item21ff7917c9:g:BQ4AAOSwa~9m4grO&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKknQXL5EHF1xZxJiFXAXq%2BbTDdgvuheLpKeKFBDs9GL77dULTxF0SgzVj48C%2FdvmC8cMgMY7JnEGX%2BbrGzkXpYAzwDcxh6H4NycBHK8SfOmMlTfi53qCvWSVhAMirpo1E29ldp03c%2BUR1WVZduUvosTzgdPJIVQmF2EBaONhbuO0%2B%2B2n4WtV9kqosohYqBR4e%2FioauHXe5UEg72aPWzlkEb4%2FhrKs5KrSMZjImIB1mO6O%2FLVPUxBwp1w4yCgaViPwqVL7wyGqqjujl2n4kLJWbB%7Ctkp%3ABk9SR-y8i9a8ZA,4 GB,128 GB,Single SIM,Samsung Galaxy A15 5G,6.5 in
New Samsung Galaxy A14 4G 128GB  Dual SIM Android (Unlocked) Smartphone Grade A+,$159.99 ,https://www.ebay.com/itm/235728612140?_skw=phone&hash=item36e2852b2c:g:uR4AAOSwQXJm2D4h&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkyp9HZg7fcvymEy%2BOKqDaR7ESKh9bqrfn2R7Zmt3whz9QFR%2F5G5NMID%2FlfKonRXXvKZOsqrx1WdKGfQxDJ%2BZ3ObcsAttSfjJPg1nwF1gwIgDoQy55tO6xAImJlF9pWV0EdcEblcpO78KZszMgFut0SPo9%2F%2BcaD3%2BxM2daXGVbXvELBek03xfUj5j74TQQ1z4SJ0KJ84440hoZTL55OaaOlRUvBkaZKiJu0BXr%2BVHnR8ymxQknp4zZYHMHlN8TWzxAk6IywofVnX0xXPjd6jCvG%7Ctkp%3ABFBM7LyL1rxk,4 GB,128 GB,-,Samsung Galaxy A14,6.6 in
"Open Box Samsung Galaxy A15 A155M 128GB 6GB 6.5"" Unlocked",$115.00 ,https://www.ebay.com/itm/305481298857?_skw=phone&hash=item47201ab3a9:g:d6AAAOSwz-hlwzen&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKny75G8NxQNju%2B55U%2BSdM1KpDb2izX6McW%2F76LAAnr1%2FVOiWPtq%2F9QSYXpw%2Bs2sQBkGS7yroJN6G6EqNuOww1T%2BwvRGn2rHBk5qhobbKKeBXSlVpU9ZA%2B93um6t0grChElRBtJnia%2ByTW7cer4XI1J0h2aUckRo6iWhM0yWU7MwmRzcTa4aPkTASgwxypBGWoA6bShf2NpZcLKv68EV4yO%2FMsOoKKHC2nInW%2BVCwrKEAg%3D%3D%7Ctkp%3ABk9SR-y8i9a8ZA,6 GB,128 GB,Dual SIM (SIM + SIM),Galaxy A15,6.5 in
Samsung Galaxy A15 5G A156M 128GB 6GB RAM GSM Unlocked International version NEW,$154.99 ,https://www.ebay.com/itm/325943882639?_skw=phone&hash=item4be3c4f38f:g:wY8AAOSwqg9lizHL&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKk5ptXsFgqHm0vtDfJPxu4T53ZMaTjSJUpFazWQKPceetB%2BA9V3c%2B%2FAUMJAOlm01oJ9xA6VG0EDaU4yQ0FTJhLEe10bfO%2BJt5XsBcXwlYmtbwRWqLWXnIRmmoQ18VEhkgvCVbe%2FQ%2FcosiAiBbO9ImGFuWgFm%2FkYiHYmzPO0nMCQqIY%2Fb6FrW3xjSEZR5xM%2BoNxNJpYLHMy1CndAdsjEuuY7YC2Qr0uzCht1a%2BKJbNP9NGC9QdjBiuKd7EY42JD3ln3vj9C29VvgXdTtDfO8jRNf%7Ctkp%3ABk9SR-y8i9a8ZA,6GB,128 GB,Dual SIM (SIM + SIM),Galaxy A15 5G,6.5 in
"Samsung Galaxy A15 SM-A156U 5G 128GB - Unlocked - 50MP 6.5"" - OPEN BOX, PRISTINE",$139.95 ,https://www.ebay.com/itm/226273992693?_skw=phone&hash=item34aefb1ff5:g:QzoAAOSwWEZmrQff&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKl0ky%2FyNGhsPrr3kyAp6QO%2BrhB5AC06ZeLAYdrTCGLQ%2ByuN7wPaT%2BC01D%2BufHMTMlrEGXqRDnIwXxg7YZv7ir7T7wSeL2jx7MUp%2Fi0Z1eevmn92VmGV3PZvkJvkL2a66qSVEtMUUBuA0kfzbKUCe2IOxPTSQXzoaivPtjt28uBEXZ1kK4eGDYFn7UsKL0GyNpqTy57l0Nory71v7D4VQkRapOtAByZB3ZFdfbFXEDP%2F3xOf5sVAzzjjOBYiIXua9PZxNdXuOcCtwCgU%2Byr7B9B1%7Ctkp%3ABk9SR-y8i9a8ZA,4 GB,128 GB,Single SIM,Samsung Galaxy A15 5G,6.5 in
"🔥Samsung Galaxy A15 5G 128GB 4GB 6.5""  SM-A156U Blue Grade B(Locked Metro-PCS)",$80.99 ,https://www.ebay.com/itm/235735610035?_skw=phone&hash=item36e2eff2b3:g:9U0AAOSwIBdm3hvB&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKli4AsfUDK9NIIES0DRNe7tW2bjw4CqXtu9Evba8XPDI8a3m%2F2V3LACV7MPBtXip%2BGjOqhWY1mEjVJzUzpSbLao9pn2gBQU%2FbDMdWiI5N51RU%2FI3ZSPeoHib4SuhpPv7F4jlONZibBjFEZdvTNDo4NzhKd%2BFdXayFY99QPoU6zhTwAQMMHWEkTy4Pv0rQhkuIc3cIW%2FAaP2M4icE9j3jiUqBXSZnowp5dujUnJ9kZWuAEBxKScsvT6jfJlRVKhrOsLedqtXL2U%2BvSykV5StJiWw%7Ctkp%3ABFBM7ryL1rxk,4 GB,128 GB,Single SIM,Samsung Galaxy A15 5G,6.5 in
New ListingSamsung Galaxy S23 Ultra - 256 GB - Black (AT&T),$119.50 ,https://www.ebay.com/itm/296686419867?_skw=phone&epid=27059042706&hash=item4513e37f9b:g:QcYAAOSwhPRmzJZP&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKm511IYfoDdZ%2FkfJd7bs%2B4O48NQgu9WkT5X5NIl5vmKeYDFKpadrLyNb8EpTySWxqyFauL7vWMAOfyhtdndVA%2BAZG74ApSehrrOPORAaVU%2BUyj%2BaRo59TpIqAANSwbJfmgAIeh6KqEX1LKYqqyh4JinY6R565Zn1tfDNOCAaGVeOtvFf4MB2YGziPfS1BkE%2BA5Au%2BIhfAcafystOvEhuDwDEBi6FVoMZIXAusajKMr97mXQAs9yWqQzqzBHNTzSUBngsL2F90PI84RLBJc%2BxLVl%7Ctkp%3ABFBM7ryL1rxk,"12 GB, 8 GB",256 GB,Dual SIM (SIM + eSIM),Samsung Galaxy S23 Ultra,6.8 in
Samsung Galaxy A15 128GB 4GB Blue Black - SM-A155F/DSN - Pristine - Warranty,$143.16 ,https://www.ebay.com/itm/266974102859?_skw=phone&hash=item3e28e5854b:g:QV0AAOSw94Nm1FEs&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlPSrscvXUFW5BbmHFiI2wWR5g9QXchvKEjt8vEOC9RR%2B8O6sTmJ3NGo8aoehScGj6yKUXf%2BdkcfhHyc2jqfMGcGIfqmx1a6meOOnXK7ODs%2FE67lRUmUUIFWY9k6hYjxFexDOmGa3BIaSv2%2BtA%2BJ5B3ZlncK5x7QPs1uA3%2FEI9n2UstlNDzL2drikPec4iBEQtH5%2Fullj4ArPVVf0gX0%2F%2Baw2advGG%2FsWKfeZcl0Lagmr5pDLeL73re%2BOD1Oq%2Ba6MzRN2Gmu1K9bZE%2BnwC98Zhx%7Ctkp%3ABk9SR_S8i9a8ZA,4 GB,128 GB,Dual SIM (SIM + SIM),Samsung Galaxy A15,6.5 in
Samsung Galaxy S24+ Plus - 256GB - (Unlocked) (US Model),$749.99 ,https://www.ebay.com/itm/285701209793?_skw=phone&hash=item42851e7ec1:g:G2UAAOSwQVFly8pG&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlnyAyFJkItDelEvEMbiJiPnNG9xUDJAlM6J6QxHKvJ%2B34gtzsibUhwSMCOT9%2Bz6LqbbugWySi5nxb2QIyl5jc0kSR9kDVGhPcTgAl4EqO7iShGkuq9aHBxdvK4y67sRYLxGI0L%2BbwNZyKCpd8NnRhG9Xkh6gC1109Xj8bKowWvFGS%2FnwNQZl4Ozsfz5NHR6DR2bAOvT3k2oOOD7iTyQWqZec%2BxrAn5ByKVf5TmvRFtGg%3D%3D%7Ctkp%3ABk9SR_S8i9a8ZA,12 GB,256 GB,-,Samsung Galaxy S24+,6.7 in
"Samsung Galaxy A14 64GB (Metro pcs) 6.6"" Display 4GB RAM Black Smartphone - Good",$75.00 ,https://www.ebay.com/itm/276210926336?_skw=phone&hash=item404f744300:g:IgIAAOSwP1Bk~uTu&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKl8X7kehl0V5pxe9t3ojG2lSUutqAJXOuIGsV%2FUru8s1kTwMKAzxsf7hCdu4S9f3gwogBI%2FH3HVHIpXI157U2Aj6ssbE6vI4ozU6LWt%2FzxsBnNNwJ%2Bq2CIchx0EqEP%2FSoqnwlIr6KaBWr1uvdtPkJCspvx16%2BnFou0WGeUskujQYvXiJqJKndwPSqcKYEu%2FNjImqiDSV00eKQWttRRfeU2eS6bsdYZGie2XLTjjq%2FV%2FrQ%3D%3D%7Ctkp%3ABk9SR_a8i9a8ZA,4 GB,64 GB,Single SIM,Samsung Galaxy A14,6.6 in
New ListingSamsung Galaxy S24 Ultra - 256 GB - Titanium Black (Unlocked),$650.00 ,https://www.ebay.com/itm/186681490032?_skw=phone&epid=23064930687&hash=item2b77157a70:g:g-oAAOSwJNNmzotn&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkW9EgCO7Kgy4PMhXHt2gaMPVPxmqtrZLAyFh2YqK1pxWeSkaYPQXj%2Bkmn3zFVZZSisgAYdd6SaVdfdHDAgT25hvPKFUGrhirh5wCSXL933NwZN01yL50ddERvDO62WNHwCLGulBOcnqesrKjpT%2FMpMFOzVEo%2BnzZfOMDecu3yi34FafvIfTtEUM1qGWkk2SX0YvPiaFrEYkj2azK0XKD5Frf7vuSQ8D421OSRydT%2BNJmjRUQiotW5%2FcFJ26iDKG53bLSHC53%2Fbw77FhoS%2BrExV%7Ctkp%3ABk9SR6yfsNa8ZA,12 GB,256 GB,Dual SIM (SIM + eSIM),Samsung Galaxy S24 Ultra,6.8 in
Samsung Galaxy A14 5G SM A146U 64GB Black - Verizon Only,$72.99 ,https://www.ebay.com/itm/395504810004?_skw=phone&epid=25058544826&hash=item5c15ec7814:g:2wIAAOSwxGxmgem3&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlolJbfQPct7K9mdDO8aFJKOfoaRK%2F9IgoDdyr%2BkEy6GtoAyGeFirmbrNJYg8p2TbS5%2BEXmat4MDha1DkKZ5SgSzp%2FDZmrPn2%2F0siZwvogrgzGXDnCyMtWKFdGJ1MLW%2F2q7dSPRrQYpuy5MwDFfkk0LiPI1jWtVYXurmZv%2BFiKPE58ktFvAcO4JxwZ80pCaLZYlf4Iw4QrXtb6G8gYLR0%2FjrrZrtZEXFO3iSU5JaAX2%2Bg%3D%3D%7Ctkp%3ABk9SR66fsNa8ZA,4 GB,64 GB,Single SIM,Samsung Galaxy A14 5G,6.4 in
New ListingSamsung Galaxy S24 - 256GB - Marble Grey (Unlocked) (Dual SIM) new,$437.84 ,https://www.ebay.com/itm/356035201217?_skw=phone&epid=21064926484&hash=item52e55a08c1:g:qFcAAOSwpbtm4ZQO&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmKdOyX%2BOnhjvff%2F1Ro468eoYQivr4idJjdHOGQ%2F9P6Eaju6Vpsqdn%2BdCFVAI8MA1ZaxJIHm1zGXcK0BH%2BEDQ%2FCHqCyI7NF2rM78evmZJQvtKvWTuEt3NNkuT--nsR2hz977HgiM6w%2BEFQxYhkvURvSzZPwWUDP6kbMyv%2FsIhYcwoOWQsGsrcS9nx8TSA3nCQSnDDVeiPylg8SI6RVPQy7Z1%2FcT6WjTkHLF7uUOqzCjIQ%3D%3D%7Ctkp%3ABk9SR7CfsNa8ZA,8 GB,256 GB,Dual SIM (SIM + eSIM),Samsung Galaxy S24,6.2 in
Samsung Galaxy A14 5G (Latest) SM-A146U AT&T 64GB Smartphone - Black,$89.99 ,https://www.ebay.com/itm/142832273210?_skw=phone&epid=15058557923&hash=item214177873a:g:DtYAAOSwHWBlZP3D&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlOGPGRMz9OcaQjdCK68oxIZjdn41yDkyHIG7CEusnAyAd%2FZvCimF5LaqyVZoDVdSNotUCcHllrCPaNEllpUL0Ey3GsUi0pp1J2dboGYrGdzHR7ZoHUYWwIkc5jagpqUQLgH5PanGEAHrdcgAn%2FyECGorFm%2F4sMKujSlCB5wro3IIU3vIkW9H2YesWkQNLtoBJQo22F%2B%2FATz%2Byoy1wGypAp5nlo7ww5FX0yBP9x4Vc6Hw%3D%3D%7Ctkp%3ABk9SR7CfsNa8ZA,8 GB,64 GB,Single SIM,Samsung Galaxy A14 5G,6.7 in
