Product Name,Price,Number of Reviews,Product URL,RAM,Storage Capacity,SIM Card Slot,Model,Screen Size
New ListingApple iPhone 11 - 128 GB - White (Unlocked) Excellent Condition!,$284.95,28 product ratings,https://www.ebay.com/itm/305777115078?_skw=phone&epid=5034224981&hash=item4731bc7fc6:g:0UsAAOSwT-Bm4Jpn&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmPGjbq5Qnwf8%2FaFfjYIwO1Ju%2Bwlsv3y05J6WKVuSngPsiGSRaT7ywx28Plup1LS5crtv9veB2ULH06OaFlMq%2BZPh6TSOihu%2FzApEjg9YKUuP2bH9dzRRPvE%2BXhvP4Hd4dsXyx4aEElZ1Da8kReQ9NbVpATnVcrcAljHUUCG%2F4Xi5p0lt3ARDoRyk6ZEe0KjizrHD7yqcRDc3Rj7mJPxggesrHWGoQbzKARIAwng6TZTw%3D%3D%7Ctkp%3ABk9SR-bV69e8ZA,4 GB,128 GB,-,Apple iPhone 11,6.1 in
Apple iPhone 12 mini - 64 GB - Black (Unlocked) (CA),$265.00,1 product rating,https://www.ebay.com/itm/355996507307?_skw=phone&epid=2312760938&hash=item52e30b9cab:g:lR8AAOSwjENm0Ro2&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmGM49vQEI8SnzLxkqFVlnpteUeoD%2BJ8fyIcYHl0J3pTfGHwlEDJ%2BIJPdh55xTBiR5CCY%2FpxBumHLQC3ZimLE771zON2TzLD%2BM3IiPWKv26cuZfVLvcY5KE7OJRKjFczD2UJE3DyiBE7RrZRbNKEGd6Q2c6AwA%2BWOI9RnnirW0OSlDIjZE6zAyTTfVWu%2FrzR5A4v3QP0C3bZYwUFfSoJ2emgSHB1bjteA4ZBXjZtQ9Wkw%3D%3D%7Ctkp%3ABk9SR-bV69e8ZA,-,64 GB,-,Apple iPhone 12 mini,5.4 in
New Apple iPhone 11 64GB/256GB Straight Talk/Total/Verizon/Tracfone/Boost Mobile,$315.00,5 product ratings,https://www.ebay.com/itm/126002280263?_skw=phone&epid=28034634216&hash=item1d56523747:g:sOgAAOSw5FNkpNRF&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkU3%2FlMrnO4zZNJbPm0iTQnChME43oGTs0ezaQoK3P27JZLN8%2Bg3kez7A8A9yl4H7ZPCEuSIi7o0HN%2FNqj53J44TOUxbeWIy9pe78%2By%2FRSBTEXJvntt9Qs%2BAUNdk1xqREL6rxeVGvjVGxQk%2FKvHzSf3d0ZYa8ZZqdWo0B025EQjfpQB%2BWFj3IjQWCqdKsGYK7QWYF7STc%2BQt7aVt4H9jB7C8rxGw3exeYwEJ8deBBvPGaNy9eS6OkeItv8%2F1UAntA4Z%2F8TJKmFcSzG2LjUlJivG%7Ctkp%3ABFBM6NXr17xk,4 GB,64 GB,Dual SIM (SIM + eSIM),Apple iPhone 11,6.1 in
Apple iPhone 11 Pro 64GB 256GB 512GB Unlocked All Colours - Excellent,$399.95,91 product ratings,https://www.ebay.com/itm/255111065706?_skw=phone&epid=8034218244&hash=item3b65cdf06a:g:kuUAAOSwzP1mHXXw&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlvFtLPs%2B5dFW1d035Hrqlzm8%2BOGH5EnXN%2Fu85mJOoWSK1jAEjyobBbDkEqrIZ%2BHTxr55M%2F4ugoo1BwHbGLgbYM%2FL1OuFrlk5QRGibPa9dOjMdywHr%2F81OxIkcfEk%2ByTRx9AIEJpXUxXDWCZJv7WwCzlY9E%2Be%2FsxdkN5DO4pPi6No12akwIBzwqAaHjY%2BAW1g0VlLIaW47aVNaRVADymStZ32MkdIOBpfkhL%2Fs57UC5ow%3D%3D%7Ctkp%3ABk9SR-rV69e8ZA,4 GB,-,Single SIM,Apple iPhone 11 Pro,5.8 in
Apple iPhone 12 - 64GB 128GB 256GB - All Colors - Good Condition,$284.95,3 product ratings,https://www.ebay.com/itm/284798067246?_skw=phone&epid=4065001101&hash=item424f49a22e:g:KK8AAOSwg4FiawAp&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnZtydd%2By7cyTxfcTz8pTxun9fHkke46Mz8yPxIPTSUC%2FfN2B4A54q4COjOAfievQ%2FNeUSAW9I997PRWqPDUv8y240nzPKW18pWULQmyyWxp8aJk9kZ8zFS5%2FYPzGXspXeGUCMQZOchIqch1S2CYXlNlk9z6Dky05rOTc09XYWhqu8ioPoAdbKGx35niSzeSNhEkB9KfDc2UBjGapEf5Jk14M%2FLX3k255LUsjv%2BtglwwYQvgLS9auUjfOQJdYKx5OC4BmsuQDyNYwGHkIlSm34b%7Ctkp%3ABk9SR-rV69e8ZA,4 GB,-,Dual SIM (SIM + eSIM),Apple iPhone 12,6.1 in
BRAND NEW | Apple iPhone 11 - 64 GB - Black (Unlocked),$779.95,40 product ratings,https://www.ebay.com/itm/405105617084?_skw=phone&epid=9034209104&hash=item5e522d28bc:g:iFUAAOSwOh5mlrLt&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmlyAlfEYrYtZp1gdGAhw4SV7abJSdCHZgHRefAinDaax2c1pdsRyP01NymfHUS0bcnMSoA5Mn2IzKkunWnqLfzEeDTyKa%2BmPwWZE7yNPMw8AM%2FoCsLj5RojdUx65GtNQYu8kwyYgJYAKEE1DgMYIMn83r%2FnhAx6KZlb8L5vs2599QxggV3gZJ21m2qkAgb5lMAT6WHXJ1kcUOdVu2S89rQvcWYPq0j0Zf94w0B2wO4Og%3D%3D%7Ctkp%3ABk9SR-rV69e8ZA,4 GB,64 GB,Single SIM,Apple iPhone 11,6.1 in
Apple iPhone 15 Pro Max - 256 GB - Black (Verizon),$399.95,8 product ratings,https://www.ebay.com/itm/326264218570?_skw=phone&epid=20062769720&hash=item4bf6dce3ca:g:XocAAOSwm1Rm31-J&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKn%2ByoFhSxwhnAZ%2Bsad3O2N2uEKeukGQIn2iS%2BG0lybuutlZACwEIEEZjRkBEnT9rWHCD5uLeg%2BHMc7OpbNQRIl8NikzRkc7zG4FOzvCaeC%2F%2Bt1%2B6cjsEwh7ZPl8plNcJx74QUqG%2FFCA6p3YhNLcb2us1ZFcjKKkwWI%2FdhIqTqcNNpwtYJnI1sPmHthAeJUf6bI4uK7%2FPg0HcttMaTTqyAiGSd3J1cDafHqS3LDjsEBJCQ%3D%3D%7Ctkp%3ABk9SR-rV69e8ZA,8 GB,256 GB,Single SIM,Apple iPhone 15 Pro Max,6.7 in
New ListingApple iPhone 14 Pro - 128GB - Deep Purple (Unlocked),$445.00,9 product ratings,https://www.ebay.com/itm/395676268098?_skw=phone&epid=27056252010&hash=item5c2024b642:g:jawAAOSwsi9myxIQ&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmoPsHiCrT3NsXvubtpROSe9L4VmlXCcHn3B1%2FM8hkjSbFusFs3UZF%2F04hKehsDJzHs%2BV%2F07d3U6J8RpnqQO3q83qh0ShBbx88IFUXilRRxcEmauO9UI4ND7j7lFsKIFHEGUcs5eAmu%2BsDDLlxtDYV9bwei4KwY%2Ba2NpEKMZsEe4oSTqy6pwzYXBxusS%2Bs6Sv0yImY8tCazrH6fPHu%2FXB4WC29rsZ84g1aF5UxzaysvPQ%3D%3D%7Ctkp%3ABk9SR-rV69e8ZA,6 GB,128 GB,-,Apple iPhone 14 Pro,6.1 in
Apple iPhone 13 - 5G Midnight   128GB (AT&T)  Smartphone - Excellent,$229.95,9 product ratings,https://www.ebay.com/itm/156323136817?_skw=phone&epid=3049291507&hash=item246595c531:g:P1AAAOSw7Ellqs9i&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmhjF44RXtr4veEH9X%2BtgA%2FLnqUOnMvIAqiu01jFoHqf6nvMSPh%2Bn%2B9VP6NQQZrdoW39Eb0SgqOBED4znxnNDE7SgIudrHOsa5VJlCwy6T8eo%2FQ%2FrZkWKp2slaAzvQWs7QDgow9N%2FztzkNibKvry7EOBLBw1Ge820p2KcRqV6tR%2FUN9Ar5AJzkOj7XgPYSKiwUdDY1ZjGTsuQae7M7kJVL9ssV4CRDe6V572qn9gp2aLA%3D%3D%7Ctkp%3ABk9SR-zV69e8ZA,4 GB,128 GB,Single SIM,Apple iPhone 13,6.06 in
Apple iPhone 14 A2649 Verizon Only 128GB Blue Good,$374.99,3 product ratings,https://www.ebay.com/itm/186531718116?_skw=phone&epid=27056252035&hash=item2b6e2823e4:g:MS8AAOSw605mgwP6&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKl6DwkNPYu0%2B5aTnKQGXU78abn1bDWXWlVMqznDNtzU2z7Y%2FFBeQh7LQVdKkgeGI2Kd6v8PYzU1Ye1SZTJqlS%2FU2eAU%2B5%2BebhJAkmzFEzhVMFizpgi8itZw6OCI6PW4RJQiVYGf9KKfIx3R%2BVHquvw46USBg2mUaHNJxxoe%2B5Ls%2BGP6PuBMyDEcAoso6rB6Wo8jjyewn%2FSEmPf2upvDmlbtzldUVgSZMDsan4d518siJQ%3D%3D%7Ctkp%3ABk9SR-zV69e8ZA,-,128 GB,-,Apple iPhone 14,-
Apple iPhone 13 Pro - 128 GB - Gray (Unlocked) CRACKED BACK,$255.00,17 product ratings,https://www.ebay.com/itm/156367098370?_skw=phone&epid=27049276479&hash=item2468349202:g:Rk8AAOSwsMlmxgw5&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKm1Rpj7RP7NmQj%2BB78c6TuShZz7D5BOR%2FI8Io7PZOoga%2BGKwCjyitIGVfZJ5ZLZMQ2tI3BSFzauhm7UkSl6U5xWQ6uJJuieabQMUZPULfvh5GP5xZjYMV%2FPw4yv8kLfH9Y7jYnAm0stk6o50lY%2BL3EDxeW3hz4fjcGc4X8bY3yS8XwhpuHxTDpBc1ZifLE3LUbBZp5h3wBm0kVXigZ9KghgtlIEQhUu9GDV2EzG7KvLlg%3D%3D%7Ctkp%3ABk9SR-zV69e8ZA,6 GB,128 GB,Dual SIM (SIM + eSIM),Apple iPhone 13 Pro,6.1 in
Apple iPhone 13 Pro Max - Alpine Green - 128GB - AT&T (Read Description),$419.99,-,https://www.ebay.com/itm/146012094821?_skw=phone&epid=2336048821&hash=item21feffc165:g:ppMAAOSw1t9m14Cq&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKkIfWw6pMtsFOIQJ4whGcpqZEuKlcOheW3MSqVd2aYYlg5xFwuNuRU3n0n%2BXgbNyz1yaA%2B8F8ZgBWobOyLkiUahAKDVJXxhDnMMPETNpcJn9bCONPvgRR1JJJnENOaEDqqkgkiuIPyQBMZESiFZj17WhqyXUbiEAtDlYJPdZ7pgvvHsR44QW7zZVYMw%2FyopM7mycdrqoGBzekFWoqH4q4esuClNOuAzVoD68frmGvd8AQ%3D%3D%7Ctkp%3ABk9SR-zV69e8ZA,6 GB,128 GB,Dual SIM (SIM + eSIM),Apple iPhone 13 Pro Max,6.7 in
New ListingNEW Apple 14 - 128 GB -  (Verizon) Phone Cellphone Cellular,$282.19,-,https://www.ebay.com/itm/235740333664?_skw=phone&epid=6056270115&hash=item36e3380660:g:YSsAAOSw~qJm4mHH&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkhAs8yJgmjwkkDCb7bunQ9InLJyKbeiae42JLq%2BThnSWJUIDxhLz76nScXcaIU0cjjTsHhD4hY38PRVCpRoi28oHvePMuUPhorYGm1zklTkSTm6N1upLCgiyVgljj2C1I1Aet4pJ%2BTHqpY0knbfP1zuROMvdNYEeBMNQLh67ZWTi7IxTCZ3nqXBPEjqWyQfJ72cjSSwLM5SmaD8fPQABpmDAXDhm2jeFJ8XY5qbw511rEZrIgOamaSRe6MGgbIuMT2wzS5%2BXP%2FJ%2FI4iKndkYL%2B%7Ctkp%3ABk9SR-zV69e8ZA,6 GB,128 GB,Single SIM,Apple iPhone 14,6.1 in
iPhone 11 - 128 GB,$173.5,28 product ratings,https://www.ebay.com/itm/326265073317?_skw=phone&epid=5034224981&hash=item4bf6e9eea5:g:NO0AAOSwkUBmx6nV&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKmSBnY1EGOwFITYs%2BJCRxB4jyof5GbPlc%2BUhPClgMEmu%2BqfPub66cRLF6QzeWGi8PRjpoc8fg%2Fg5NqgE3EG47Mv%2FbdNc7PmosvZdKWZcvjojPRGny8Gzok0UaI%2BeFYXp%2BDj%2Fw3JOmfYDrEAST9MY9QkVLSRvwGlDIrOT2lgQ0R9dYzF3BT1dRQIQrV%2F5ha9r5WjLnidOjdz2Ei%2BiWaO7qUkgnhxwVKHTDL7TjLap7bqFw%3D%3D%7Ctkp%3ABk9SR-zV69e8ZA,4 GB,128 GB,-,Apple iPhone 11,6.1 in
Apple iPhone 12 64gb 5G BLACK Smartphone (AT&T CRICKET H2O)  NEW OTHER SEALED,$247.88,16 product ratings,https://www.ebay.com/itm/285915396095?_skw=phone&epid=13041717128&hash=item4291e2b7ff:g:O8UAAOSwfAljG7ax&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnW%2BGyCREA%2BYYxXYdqxcoSizZkp%2F4jWNINiMyaMQDnQbFi2ZwUXZs5w1F80CGBf7fExHAIRd%2B9VRxxRPhq88IJDKtvy3JWDkJLrS3uygP8DLDj9tzjvYZSWiPMa1Ikh0kxSrCnR%2BBYggH%2BS06OasWgntt8h0BcDTjE5JjeWCeplxvkDf8j%2FVO2%2F0ck%2BLWHfDvXVoOoISY%2F9I1hY7OkwVVSl%2BXdAnw%2BKCEDXRRVxXpZKtPf0OJ8Uw%2BW0a7Ef65Igwr41ttmYKSBUv5iJETe18pdS%7Ctkp%3ABk9SR-zV69e8ZA,4 GB,64 GB,Dual SIM (SIM + eSIM),Apple iPhone 12,6.1 in
Apple iPhone 11 - 64GB 128GB 256GB - All Colors - Excellent Condition,$245.00,40 product ratings,https://www.ebay.com/itm/284788621781?_skw=phone&epid=9034209104&hash=item424eb981d5:g:4f8AAOSw0IVidaHD&itmprp=enc%3AAQAJAAAAwHoV3kP08IDx%2BKZ9MfhVJKlepkWwoZx8sLeNT%2FO4%2B2DyH5NVlVDbwF%2FxmOCaZvSJixFI54quZEQcYtiFB%2FKqPUCF0YyQ7ceKeI2MZFgnyBj0zL6W%2Bn1rqgBHt5y%2FN5JgnpWX9lFrfq0V9JfNFaQTGHYSems%2F7QuvQTs1%2Bd20AEAeq6Lm%2Fyvyra9oQL1HsM6quziRfOBlAKPzwKS4r7IRk9wOY0SCbkaUQ4cOtHyLHWcbpvvai1tDmX32vvoTQvfBBw%3D%3D%7Ctkp%3ABk9SR-7V69e8ZA,4 GB,-,Single SIM,Apple iPhone 11,6.1 in
Apple iPhone 11 - 64GB | 128GB (Unlocked) A2111 (CDMA + GSM) Smartphone,$279.95,40 product ratings,https://www.ebay.com/itm/266663137484?_skw=phone&epid=9034209104&hash=item3e165c90cc:g:nPEAAOSwV5BljcOD&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKmm8q%2F29ny1z3su2%2Fv5X2HBeH%2FDfum73MtjSg5AZT4fTGFWlj6ojMXW%2FiXCbcxusRdEvuQK1TTafXJL6PTLMzSwogueMoMqfPL%2Bcdd%2BzY2n1Uhf2JWx6O7n2pK%2BYckb7Oin7%2FIeIYpUX1R5E5B%2BUwGO2QWupFvqx1QLlHE05h455YsPq2lU%2FW%2BjlDrsrUixNQbYGU1xhq36Q%2FfcMlAvH3SXHZGi%2Fb%2FHqglA3JzgV%2FoeQiDXUK1WnWfDNRSwLTEQsi5lUi1JsRJY7HBH7fwkxkeD%7Ctkp%3ABFBM2JqG2Lxk,4 GB,-,Single SIM,Apple iPhone 11,6.1 in
Apple iPhone 12 64GB/128GB/256GB - ALL COLOURS - UNLOCKED - GOOD CONDITION,$390.42,31 product ratings,https://www.ebay.com/itm/166320461875?_skw=phone&epid=8041719754&hash=item26b978d833:g:hFkAAOSwVUdmOK9q&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlkB538TnkNmGPmI44Wj9iXhz20zQvWWfFgm6cgwQrT4MoTQKccKQo9zpII6jjOxkhvAEvpq2S4jc85jtcyyv%2BgLAF6HaK8qALqd%2FDAy07NauNQEJ2Ss%2FIPcLH7q9D%2F4VJbv2WKzHYMzZuGTjrTrYtO1snfcrsnI9nEGogcEbR%2Fb0mEAPgjll6lwNQoY8yXJRyFjYla1q96aRowNT501evcOQ0ixFoST8l7FjKwsdfHY6yGpyM1%2FV2XgGeSeZEoZ%2BjXjMBQT1EPXasvCbIUBQWA%7Ctkp%3ABk9SR9iahti8ZA,4 GB,"64GB, 128GB, 256GB",-,Apple iPhone 12,6.1 in
